"via_img_id","filename","size","name","x","y","width","height","order","conf_order","insect_body_view","box_img_quality","suborder","conf_suborder","infraorder","conf_infraorder","superfamily","conf_superfamily","family","conf_family","clustergenera","conf_clustergenera","genus","conf_genus","species","conf_species","species_sex","conf_species_sex","notes","id_box"
"IMG_0376.JPG1106232","IMG_0376.JPG",1106232,"rect",1039,886,167,180,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0377.JPG972076","IMG_0377.JPG",972076,"rect",1046,864,150,210,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0378.JPG1233573","IMG_0378.JPG",1233573,"rect",1048,894,141,176,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0379.JPG1113632","IMG_0379.JPG",1113632,"rect",1045,890,139,183,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0380.JPG862545","IMG_0380.JPG",862545,"rect",1041,901,171,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"dark, unclear image. someone with more Coleoptera experience may get to species?",1
"IMG_0381.JPG893392","IMG_0381.JPG",893392,"rect",1044,897,163,196,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0382.JPG897495","IMG_0382.JPG",897495,"rect",1048,901,156,184,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0383.JPG896527","IMG_0383.JPG",896527,"rect",1049,899,147,188,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0384.JPG890636","IMG_0384.JPG",890636,"rect",1043,896,136,190,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
"IMG_0385.JPG890942","IMG_0385.JPG",890942,"rect",1043,904,147,180,"Coleoptera","high",NA,"low",NA,NA,NA,NA,NA,NA,"Scarabaeidae","high",NA,NA,"Cetonia","medium",NA,NA,NA,NA,"someone with more Coleoptera experience may get to species?",1
